src,dst,generated,served,served
8,25,648,143,858
8,26,672,167,1002
8,27,661,156,936
9,10,662,152,912
9,11,646,144,864
9,12,659,154,924
9,13,660,154,924
9,14,655,151,906
9,15,633,129,774
9,16,667,163,978
9,17,684,179,1074
9,18,671,164,984
9,19,663,153,918
9,20,655,149,894
9,21,654,151,906
9,22,666,158,948
9,23,685,180,1080
9,24,659,151,906
9,25,671,164,984
9,26,646,144,864
9,27,653,151,906
10,11,658,156,936
10,12,678,171,1026
10,13,658,155,930
10,14,645,143,858
10,15,657,150,900
10,16,639,135,810
10,17,644,137,822
10,18,666,162,972
10,19,679,172,1032
10,20,651,150,900
10,21,680,174,1044
10,22,659,152,912
10,23,666,162,972
10,24,688,184,1104
10,25,651,147,882
10,26,655,152,912
10,27,659,154,924
11,12,663,157,942
11,13,675,169,1014
11,14,659,154,924
11,15,674,171,1026
11,16,680,173,1038
11,17,679,173,1038
11,18,662,158,948
11,19,676,171,1026
11,20,648,145,870
11,21,686,180,1080
11,22,669,161,966
11,23,662,157,942
11,24,659,154,924
11,25,675,173,1038
11,26,659,157,942
11,27,651,146,876
12,13,645,139,834
12,14,657,150,900
12,15,655,149,894
12,16,636,131,786
12,17,686,183,1098
12,18,662,153,918
12,19,681,172,1032
12,20,680,175,1050
12,21,659,152,912
12,22,639,136,816
12,23,665,159,954
12,24,664,155,930
12,25,670,162,972
12,26,667,167,1002
12,27,661,151,906
13,14,664,158,948
13,15,670,163,978
13,16,658,154,924
13,17,670,159,954
13,18,662,154,924
13,19,666,158,948
13,20,673,167,1002
13,21,661,159,954
13,22,657,149,894
13,23,640,137,822
13,24,682,174,1044
13,25,659,157,942
13,26,676,167,1002
13,27,660,155,930
14,15,653,149,894
14,16,656,154,924
14,17,659,146,876
14,18,666,163,978
14,19,665,158,948
14,20,691,181,1086
14,21,662,157,942
14,22,650,145,870
14,23,641,137,822
14,24,643,137,822
14,25,670,164,984
14,26,662,157,942
14,27,678,175,1050
15,16,661,153,918
15,17,685,180,1080
15,18,673,169,1014
15,19,675,169,1014
15,20,678,171,1026
15,21,639,134,804
15,22,642,140,840
15,23,657,154,924
15,24,665,161,966
15,25,663,158,948
15,26,648,146,876
15,27,654,148,888
16,17,655,153,918
16,18,665,163,978
16,19,665,163,978
16,20,685,178,1068
16,21,640,134,804
16,22,672,169,1014
16,23,675,171,1026
16,24,685,177,1062
16,25,648,144,864
16,26,656,151,906
16,27,674,172,1032
17,18,688,183,1098
17,19,658,154,924
17,20,665,157,942
17,21,647,144,864
17,22,644,143,858
17,23,637,135,810
17,24,644,136,816
17,25,653,148,888
17,26,672,166,996
17,27,661,157,942
18,19,644,143,858
18,20,682,177,1062
18,21,664,159,954
18,22,657,150,900
18,23,653,150,900
18,24,664,161,966
18,25,669,165,990
18,26,663,159,954
18,27,643,140,840
19,20,666,164,984
19,21,666,164,984
19,22,647,142,852
19,23,647,143,858
19,24,667,162,972
19,25,648,143,858
19,26,668,163,978
19,27,655,152,912
20,21,643,134,804
20,22,660,153,918
20,23,637,134,804
20,24,645,144,864
20,25,657,150,900
20,26,667,161,966
20,27,646,143,858
21,22,647,142,852
21,23,659,155,930
21,24,640,138,828
21,25,657,152,912
21,26,637,134,804
21,27,649,147,882
22,23,681,173,1038
22,24,658,152,912
22,25,670,164,984
22,26,660,156,936
22,27,677,172,1032
23,24,644,142,852
23,25,644,133,798
23,26,674,167,1002
23,27,667,160,960
24,25,669,167,1002
24,26,653,148,888
24,27,659,157,942
25,26,637,132,792
25,27,639,134,804
26,27,672,167,1002
