src,dst,generated,served,served
5,7,663,176,1056
5,8,656,170,1020
5,9,668,182,1092
5,10,640,140,840
5,11,657,160,960
5,12,663,177,1062
5,13,657,143,858
5,14,668,157,942
5,15,654,164,984
5,16,688,201,1206
5,17,686,199,1194
5,18,642,126,756
5,19,644,121,726
5,20,640,120,720
5,21,652,162,972
5,22,661,171,1026
5,23,657,170,1020
5,24,640,113,678
5,25,666,134,804
5,26,650,161,966
5,27,667,178,1068
6,7,683,196,1176
6,8,668,182,1092
6,9,656,167,1002
6,10,656,156,936
6,11,663,167,1002
6,12,647,159,954
6,13,649,144,864
6,14,668,155,930
6,15,664,178,1068
6,16,664,174,1044
6,17,659,170,1020
6,18,643,128,768
6,19,678,146,876
6,20,663,146,876
6,21,684,196,1176
6,22,670,182,1092
6,23,660,172,1032
6,24,683,141,846
6,25,671,130,780
6,26,673,181,1086
6,27,672,183,1098
7,8,643,155,930
7,9,649,160,960
7,10,660,165,990
7,11,659,166,996
7,12,673,184,1104
7,13,648,147,882
7,14,654,160,960
7,15,656,168,1008
7,16,657,169,1014
7,17,655,167,1002
7,18,649,143,858
7,19,661,136,816
7,20,680,154,924
7,21,681,191,1146
7,22,664,175,1050
7,23,651,165,990
7,24,664,131,786
7,25,666,141,846
7,26,636,150,900
7,27,665,178,1068
8,9,668,182,1092
8,10,667,177,1062
8,11,653,163,978
8,12,670,184,1104
8,13,671,180,1080
8,14,669,181,1086
8,15,676,186,1116
8,16,651,164,984
8,17,634,148,888
8,18,677,187,1122
8,19,661,154,924
8,20,693,188,1128
8,21,652,162,972
8,22,659,173,1038
8,23,657,170,1020
8,24,667,132,792
8,25,660,142,852
8,26,671,184,1104
8,27,692,206,1236
9,10,645,153,918
9,11,668,177,1062
9,12,659,172,1032
9,13,649,151,906
9,14,660,170,1020
9,15,645,156,936
9,16,655,167,1002
9,17,645,159,954
9,18,662,159,954
9,19,695,171,1026
9,20,674,173,1038
9,21,658,169,1014
9,22,659,171,1026
9,23,673,185,1110
9,24,652,128,768
9,25,642,119,714
9,26,667,180,1080
9,27,685,197,1182
10,11,638,151,906
10,12,653,165,990
10,13,651,165,990
10,14,675,189,1134
10,15,663,171,1026
10,16,657,164,984
10,17,666,167,1002
10,18,659,169,1014
10,19,650,163,978
10,20,672,184,1104
10,21,675,181,1086
10,22,665,165,990
10,23,660,145,870
10,24,684,195,1170
10,25,654,167,1002
10,26,662,149,894
10,27,666,138,828
11,12,665,176,1056
11,13,651,164,984
11,14,670,183,1098
11,15,663,176,1056
11,16,668,179,1074
11,17,668,174,1044
11,18,689,201,1206
11,19,642,154,924
11,20,654,167,1002
11,21,675,183,1098
11,22,656,163,978
11,23,668,168,1008
11,24,672,184,1104
11,25,670,183,1098
11,26,665,168,1008
11,27,654,145,870
12,13,656,165,990
12,14,630,137,822
12,15,672,185,1110
12,16,680,192,1152
12,17,664,178,1068
12,18,666,178,1068
12,19,644,137,822
12,20,674,180,1080
12,21,662,174,1044
12,22,655,169,1014
12,23,656,170,1020
12,24,634,125,750
12,25,645,136,816
12,26,662,175,1050
12,27,656,168,1008
13,14,655,168,1008
13,15,679,190,1140
13,16,680,191,1146
13,17,658,159,954
13,18,657,168,1008
13,19,655,167,1002
13,20,683,196,1176
13,21,649,157,942
13,22,690,201,1206
13,23,677,178,1068
13,24,658,171,1026
13,25,688,202,1212
13,26,689,188,1128
13,27,684,176,1056
14,15,682,192,1152
14,16,654,162,972
14,17,666,175,1050
14,18,652,165,990
14,19,689,200,1200
14,20,639,153,918
14,21,647,156,936
14,22,663,174,1044
14,23,649,154,924
14,24,660,173,1038
14,25,662,174,1044
14,26,664,171,1026
14,27,676,183,1098
15,16,657,169,1014
15,17,672,186,1116
15,18,658,170,1020
15,19,663,174,1044
15,20,657,170,1020
15,21,653,166,996
15,22,646,159,954
15,23,652,165,990
15,24,652,155,930
15,25,665,173,1038
15,26,663,175,1050
15,27,654,168,1008
16,17,643,156,936
16,18,677,190,1140
16,19,640,142,852
16,20,658,165,990
16,21,676,189,1134
16,22,663,176,1056
16,23,675,186,1116
16,24,663,152,912
16,25,637,136,816
16,26,675,189,1134
16,27,660,173,1038
17,18,668,178,1068
17,19,651,139,834
17,20,659,157,942
17,21,676,186,1116
17,22,663,176,1056
17,23,658,171,1026
17,24,673,154,924
17,25,636,126,756
17,26,665,178,1068
17,27,640,152,912
18,19,677,190,1140
18,20,683,196,1176
18,21,646,146,876
18,22,657,167,1002
18,23,658,167,1002
18,24,653,166,996
18,25,649,163,978
18,26,676,171,1026
18,27,652,156,936
19,20,643,156,936
19,21,654,166,996
19,22,653,157,942
19,23,660,145,870
19,24,638,150,900
19,25,667,181,1086
19,26,660,163,978
19,27,665,155,930
20,21,646,152,912
20,22,631,145,870
20,23,668,170,1020
20,24,639,153,918
20,25,640,154,924
20,26,633,142,852
20,27,670,175,1050
21,22,640,152,912
21,23,651,164,984
21,24,642,151,906
21,25,649,156,936
21,26,670,181,1086
21,27,667,176,1056
22,23,651,164,984
22,24,654,153,918
22,25,658,166,996
22,26,655,169,1014
22,27,664,177,1062
23,24,655,149,894
23,25,676,177,1062
23,26,666,176,1056
23,27,657,171,1026
24,25,653,167,1002
24,26,656,161,966
24,27,687,183,1098
25,26,644,150,900
25,27,651,153,918
26,27,666,180,1080
