src,dst,generated,served,served
4,18,655,167,1002
4,19,623,135,810
4,20,668,183,1098
4,21,641,153,918
4,22,676,173,1038
4,23,663,161,966
4,24,642,156,936
4,25,695,202,1212
4,26,656,156,936
4,27,677,164,984
5,6,663,177,1062
5,7,666,179,1074
5,8,644,157,942
5,9,649,164,984
5,10,668,161,966
5,11,667,160,960
5,12,668,181,1086
5,13,653,141,846
5,14,663,157,942
5,15,683,195,1170
5,16,650,165,990
5,17,685,199,1194
5,18,654,150,900
5,19,656,144,864
5,20,660,132,792
5,21,641,153,918
5,22,664,176,1056
5,23,665,179,1074
5,24,664,132,792
5,25,679,151,906
5,26,678,189,1134
5,27,654,167,1002
6,7,653,167,1002
6,8,658,173,1038
6,9,665,179,1074
6,10,671,154,924
6,11,663,162,972
6,12,668,180,1080
6,13,660,155,930
6,14,654,144,864
6,15,661,175,1050
6,16,666,180,1080
6,17,639,154,924
6,18,665,151,906
6,19,659,135,810
6,20,687,172,1032
6,21,678,189,1134
6,22,665,179,1074
6,23,637,151,906
6,24,668,142,852
6,25,674,155,930
6,26,672,185,1110
6,27,683,196,1176
7,8,659,172,1032
7,9,670,183,1098
7,10,649,151,906
7,11,666,174,1044
7,12,681,195,1170
7,13,646,145,870
7,14,658,166,996
7,15,653,167,1002
7,16,667,181,1086
7,17,661,174,1044
7,18,639,149,894
7,19,676,145,870
7,20,658,141,846
7,21,666,180,1080
7,22,666,181,1086
7,23,676,191,1146
7,24,652,133,798
7,25,669,154,924
7,26,650,161,966
7,27,673,187,1122
8,9,654,167,1002
8,10,664,176,1056
8,11,657,171,1026
8,12,658,173,1038
8,13,661,168,1008
8,14,642,153,918
8,15,648,163,978
8,16,657,172,1032
8,17,649,164,984
8,18,640,149,894
8,19,649,147,882
8,20,670,179,1074
8,21,667,181,1086
8,22,674,187,1122
8,23,654,169,1014
8,24,680,167,1002
8,25,656,144,864
8,26,644,158,948
8,27,654,168,1008
9,10,665,171,1026
9,11,663,173,1038
9,12,659,173,1038
9,13,656,151,906
9,14,636,141,846
9,15,682,197,1182
9,16,660,174,1044
9,17,663,178,1068
9,18,681,173,1038
9,19,654,139,834
9,20,681,173,1038
9,21,667,181,1086
9,22,670,185,1110
9,23,652,166,996
9,24,657,137,822
9,25,660,140,840
9,26,680,193,1158
9,27,672,187,1122
10,11,645,159,954
10,12,665,171,1026
10,13,675,190,1140
10,14,650,165,990
10,15,652,164,984
10,16,643,153,918
10,17,672,174,1044
10,18,668,181,1086
10,19,645,159,954
10,20,656,171,1026
10,21,656,167,1002
10,22,663,173,1038
10,23,666,165,990
10,24,677,191,1146
10,25,658,172,1032
10,26,667,173,1038
10,27,674,173,1038
11,12,668,180,1080
11,13,660,175,1050
11,14,650,164,984
11,15,688,202,1212
11,16,648,163,978
11,17,681,189,1134
11,18,648,163,978
11,19,665,178,1068
11,20,645,159,954
11,21,686,200,1200
11,22,669,183,1098
11,23,666,177,1062
11,24,659,173,1038
11,25,662,175,1050
11,26,646,160,960
11,27,670,173,1038
12,13,670,166,996
12,14,640,151,906
12,15,663,175,1050
12,16,666,181,1086
12,17,662,175,1050
12,18,659,169,1014
12,19,653,140,840
12,20,672,163,978
12,21,656,168,1008
12,22,637,152,912
12,23,636,151,906
12,24,664,152,912
12,25,652,140,840
12,26,653,168,1008
12,27,681,195,1170
13,14,652,166,996
13,15,669,181,1086
13,16,676,180,1080
13,17,657,138,828
13,18,675,189,1134
13,19,670,183,1098
13,20,661,176,1056
13,21,637,152,912
13,22,682,188,1128
13,23,677,163,978
13,24,663,178,1068
13,25,671,185,1110
13,26,653,161,966
13,27,677,171,1026
14,15,670,184,1104
14,16,674,188,1128
14,17,663,167,1002
14,18,670,185,1110
14,19,669,183,1098
14,20,653,167,1002
14,21,653,166,996
14,22,663,169,1014
14,23,634,140,840
14,24,650,165,990
14,25,644,158,948
14,26,684,196,1176
14,27,667,172,1032
15,16,641,156,936
15,17,688,203,1218
15,18,649,162,972
15,19,668,178,1068
15,20,666,179,1074
15,21,661,176,1056
15,22,673,188,1128
15,23,644,158,948
15,24,653,157,942
15,25,673,185,1110
15,26,686,201,1206
15,27,647,162,972
16,17,650,164,984
16,18,641,152,912
16,19,689,184,1104
16,20,649,160,960
16,21,657,171,1026
16,22,686,199,1194
16,23,660,174,1044
16,24,665,152,912
16,25,661,159,954
16,26,678,192,1152
16,27,663,178,1068
17,18,658,158,948
17,19,668,147,882
17,20,677,165,990
17,21,669,182,1092
17,22,665,178,1068
17,23,651,166,996
17,24,653,125,750
17,25,655,147,882
17,26,652,166,996
17,27,649,162,972
18,19,638,153,918
18,20,659,174,1044
18,21,677,189,1134
18,22,666,179,1074
18,23,675,177,1062
18,24,667,182,1092
18,25,652,167,1002
18,26,657,170,1020
18,27,667,178,1068
19,20,661,176,1056
19,21,677,185,1110
19,22,677,153,918
19,23,649,122,732
19,24,672,187,1122
19,25,667,181,1086
19,26,633,135,810
19,27,626,117,702
20,21,646,159,954
20,22,639,149,894
20,23,657,160,960
20,24,660,175,1050
20,25,644,159,954
20,26,663,177,1062
20,27,651,160,960
21,22,648,163,978
21,23,664,177,1062
21,24,667,176,1056
21,25,662,173,1038
21,26,673,188,1128
21,27,672,187,1122
22,23,646,161,966
22,24,647,140,840
22,25,651,156,936
22,26,664,178,1068
22,27,673,188,1128
23,24,622,108,648
23,25,648,135,810
23,26,663,178,1068
23,27,654,169,1014
24,25,668,183,1098
24,26,673,176,1056
24,27,652,149,894
25,26,653,160,960
25,27,667,173,1038
26,27,669,183,1098
